time,sample
0.531,0.001
0.532,-0.022
0.533,0.1296
0.534,-0.078
0.535,-0.045
0.536,0.039
0.537,-0.097
0.538,-0.022
0.539,0.072
0.54,0.067
0.541,-0.092
0.542,0
0.543,-0.034
0.544,-0.068
0.545,0.08
0.546,0.076
0.547,-0.071
0.548,-0.052
0.549,-0.081
0.55,-0.03
0.551,-0.033
0.552,0.019
0.553,-0.045
0.554,-0.07
0.555,0.0654
0.556,0.07
0.557,-0.051
0.558,0.1544
0.559,-0.035
0.56,-0.085
0.561,0.058
0.562,0.0818
0.563,0.074
0.564,-0.074
0.565,-0.082
0.566,0.074
0.567,-0.039
0.568,0.084
0.569,-0.067
0.57,0.019
0.571,0.064
0.572,0.099
0.573,-0.005
0.574,0.039
0.575,-0.075
0.576,0.088
0.577,0.1514
0.578,-0.088
0.579,0.053
0.58,0.034
0.581,-0.033
0.582,0.073
0.583,-0.032
0.584,0.057
0.585,-0.023
0.586,-0.074
0.587,0.07
0.588,0.018
0.589,0.095
0.59,0.089
0.591,-0.008
0.592,-0.032
0.593,-0.01
0.594,-0.067
0.595,-0.02
0.596,-0.008
0.597,0.044
0.598,-0.094
0.599,-0.063
0.6,0.029
0.601,0.06
0.602,0.004
0.603,0.038
0.604,0.028
0.605,0.094
0.606,-0.084
0.607,0.059
0.608,-0.015
0.609,-0.0276
0.61,-0.066
0.611,-0.025
0.612,-0.085
0.613,-0.025
0.614,0.035
0.615,-0.048
0.616,0.092
0.617,-0.004
0.618,0.1494
0.619,-0.091
0.62,-0.017
0.621,-0.05
0.622,0.057
0.623,-0.053
0.624,-0.089
0.625,-0.001
0.626,-0.09
0.627,0.084
0.628,-0.097
0.629,0.1664
0.63,-0.011
0.631,0.1138
0.632,0.098
0.633,0.0212
0.634,-0.0046
0.635,0.042
0.636,-0.078
0.637,-0.065
0.638,-0.083
0.639,-0.0244
0.64,-0.0468
0.641,-0.05
0.642,-0.016
0.643,-0.025
0.644,-0.087
0.645,0.058
0.646,-0.053
0.647,0.0626
0.648,0.014
0.649,0.045
0.65,-0.0556
0.651,0.052
0.652,0.051
0.653,0.0078
0.654,-0.002
0.655,0.082
0.656,0.066
0.657,0.048
0.658,-0.009
0.659,-0.047
0.66,0.066
0.661,0.037
0.662,-0.003
0.663,0.044
0.664,0.081
0.665,-0.065
0.666,-0.099
0.667,0.116
0.668,-0.021
0.669,-0.012
0.67,-0.004
0.671,-0.079
0.672,0.051
0.673,-0.055
0.674,0.0588
0.675,0.0296
0.676,0.022
0.677,-0.081
0.678,-0.092
0.679,-0.004
0.68,0.059
0.681,0.0092
0.682,-0.09
0.683,0.0522
0.684,-0.077
0.685,0.051
0.686,-0.033
0.687,0.073
0.688,-0.069
0.689,0.0746
0.69,0.059
0.691,-0.062
0.692,0.0616
0.693,0.075
0.694,-0.06
0.695,-0.076
0.696,0.038
0.697,0.066
0.698,-0.007
0.699,-0.028
0.7,0.045
0.701,-0.015
0.702,-0.031
0.703,0.0868
0.704,0.055
0.705,0.0884
0.706,0.066
0.707,0.02
0.708,0.074
0.709,-0.013
0.71,0.04
0.711,-0.05
0.712,0.007
0.713,0.089
0.714,-0.021
0.715,-0.0154
0.716,0.003
0.717,-0.012
0.718,-0.031
0.719,-0.029
0.72,0.006
0.721,0.067
0.722,0.09
0.723,-0.008
0.724,-0.024
0.725,-0.082
0.726,0.09
0.727,-0.086
0.728,0.062
0.729,-0.065
0.73,0.007
0.731,0.009
0.732,0.05
0.733,0.014
0.734,0.033
0.735,-0.0188
0.736,0.08
0.737,-0.09
0.738,-0.0416
0.739,0.011
0.74,0.0902
0.741,-0.077
0.742,0.0802
0.743,-0.09
0.744,-0.0598
0.745,0.062
0.746,-0.08
0.747,0.007
0.748,0.034
0.749,0.0846
0.75,0.064
0.751,-0.074
0.752,0.004
0.753,0.037
0.754,0.044
0.755,0.046
0.756,0.059
0.757,-0.029
0.758,0.048
0.759,-0.081
0.76,-0.017
0.761,-0.095
0.762,0.016
0.763,0.025
0.764,-0.018
0.765,0.05
0.766,-0.085
0.767,0.1244
0.768,0.032
0.769,-0.013
0.77,0.094
0.771,-0.006
0.772,-0.0562
0.773,-0.042
0.774,0.072
0.775,-0.086
0.776,0.093
0.777,0.032
0.778,-0.067
0.779,0.0068
0.78,0.042
0.781,0.004
0.782,-0.052
0.783,-0.06
0.784,0.055
0.785,0.0754
0.786,-0.013
0.787,-0.054
0.788,0.046
0.789,-0.051
0.79,-0.067
0.791,-0.094
0.792,-0.09
0.793,0.055
0.794,0.1146
0.795,0.064
0.796,0.1052
0.797,-0.006
0.798,0.096
0.799,-0.054
0.8,-0.012
0.801,-0.0502
0.802,0.0294
0.803,-0.011
0.804,-0.08
0.805,0.048
0.806,0.072
0.807,0.0472
0.808,-0.06
0.809,0.095
0.81,-0.018
0.811,0.1234
0.812,0.037
0.813,0.054
0.814,0.0706
0.815,-0.041
0.816,0.091
0.817,0.029
0.818,0.037
0.819,0.004
0.82,0.086
0.821,0.098
0.822,-0.033
0.823,0.03
0.824,0.03
0.825,-0.092
0.826,0.022
0.827,-0.016
0.828,-0.081
0.829,-0.082
0.83,0.007
0.831,-0.007
0.832,-0.047
0.833,0.035
0.834,-0.058
0.835,0.122
0.836,0.092
0.837,-0.055
0.838,-0.062
0.839,0.078
0.84,0.076
0.841,-0.0328
0.842,-0.084
0.843,-0.063
0.844,0.008
0.845,0.109
0.846,0.084
0.847,0.1324
0.848,-0.006
0.849,-0.028
0.85,-0.034
0.851,0.014
0.852,0.033
0.853,-0.023
0.854,0.064
0.855,0.037
0.856,-0.058
0.857,-0.045
0.858,-0.005
0.859,-0.058
0.86,0.0508
0.861,0.086
0.862,0.075
0.863,0.054
0.864,0.092
0.865,0.099
0.866,-0.091
0.867,0.043
0.868,0.036
0.869,0.004
0.87,-0.002
0.871,-0.018
0.872,0.041
0.873,-0.074
0.874,0.039
0.875,0.038
0.876,0.009
0.877,-0.029
0.878,0.081
0.879,0.004
0.88,-0.015
0.881,-0.09
0.882,0.026
0.883,-0.048
0.884,0.088
0.885,0.035
0.886,0.068
0.887,0.001
0.888,-0.078
0.889,0.083
0.89,-0.075
0.891,-0.005
0.892,-0.033
0.893,0.058
0.894,0.0168
0.895,-0.095
0.896,0.0618
0.897,-0.045
0.898,-0.042
0.899,-0.016
0.9,0.026
0.901,-0.008
0.902,0.022
0.903,-0.089
0.904,-0.003
0.905,0.09
0.906,-0.039
0.907,0.0394
0.908,-0.04
0.909,0.0762
0.91,0.003
0.911,0.0574
0.912,-0.047
0.913,-0.036
0.914,0.064
0.915,-0.074
0.916,0.1332
0.917,-0.049
0.918,0.1124
0.919,0.097
0.92,-0.021
0.921,0.095
0.922,-0.044
0.923,-0.088
0.924,0.0182
0.925,-0.094
0.926,0.015
0.927,0.081
0.928,0.096
0.929,0.028
0.93,0.097
0.931,0.069
0.932,-0.077
0.933,0.012
0.934,0.094
0.935,0.05
0.936,-0.0814
0.937,0.002
0.938,0.082
0.939,-0.011
0.94,0.058
0.941,0.076
0.942,0.082
0.943,0.055
0.944,-0.027
0.945,-0.006
0.946,0.046
0.947,0.189
0.948,-0.033
0.949,-0.018
0.95,0.032
0.951,-0.029
0.952,0.065
0.953,0.015
0.954,0.1568
0.955,-0.092
0.956,-0.086
0.957,0.004
0.958,0.142
0.959,-0.032
0.96,0.043
0.961,-0.036
0.962,0.0154
0.963,-0.063
0.964,0.08
0.965,0.0276
0.966,0.018
0.967,0.086
0.968,-0.056
0.969,-0.054
0.97,0.024
0.971,0.027
0.972,-0.087
0.973,0.1166
0.974,-0.081
0.975,0.037
0.976,0.012
0.977,-0.035
0.978,0.059
0.979,-0.074
0.98,0.009
0.981,-0.074
0.982,-0.0408
0.983,-0.004
0.984,0.016
0.985,-0.099
0.986,0.007
0.987,0.076
0.988,-0.054
0.989,-0.066
0.99,0.06
0.991,-0.026
0.992,0.035
0.993,0.027
0.994,0.009
0.995,0.1586
0.996,-0.003
0.997,0.1078
0.998,-0.036
0.999,-0.1
